FName(String),LName(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Float),Rate(Float),SingleExemp(Float),ChildExemp(Float) 
Tsunenori,Czajkowski, 763,174-1819,RUSHFORD,MN,55971,M,N,18000,5.35,0,0
Shigeo,Atarashi, 907,138-1835,ESTER,AK,99725,M,N,2000,0.0,0,0
Neeraj,Taniar, 860,134-1362,WEST HARTFORD,CT,06117,S,Y,92000,5.0,12750,0
Hiromichi,Khakhar, 541,104-1627,PRINEVILLE,OR,97754,S,Y,79000,9.0,159,159
Debin,Vilarrasa, 907,165-1030,PETERSBURG,AK,99833,S,Y,31500,0.0,0,0
Yuki,Doroslovacki, 505,143-2066,FARMINGTON,NM,87401,M,N,7500,2.3857143,0,0
Alexey,Bouloukos, 802,175-1902,NORTH POMFRET,VT,05053,S,Y,20500,3.6,3300,3300
Duong,Cakir, 307,181-1305,MORAN,WY,83013,S,Y,69500,0.0,0,0
Wassili,Kugelmass, 801,111-1939,SALT LAKE CITY,UT,84122,S,Y,24000,7.0,2475,2475
Terrance,Uhrik, 641,168-1191,WELDON,IA,50264,M,N,45500,7.18829,0,0
Klemens,Vesel, 515,121-1249,CHURDAN,IA,50050,S,Y,4000,0.7816061,40,40
Sangjyu,Heckmann, 802,101-2024,EAST POULTNEY,VT,05741,M,N,97500,4.9449334,0,0
Yorick,Bau, 847,176-1713,HAMEL,IL,62046,S,Y,73500,3.0,2000,2000
Hazel,Rotteler, 701,131-1654,GRANDIN,ND,58038,S,Y,17500,2.1,3300,3300
Samul,Khalil, 939,121-1949,PATILLAS,PR,00723,M,N,6000,0.0,0,0
Sokratis,Heikes, 202,141-1064,WASHINGTON,DC,20395,S,Y,87500,9.0,1370,1370
Tateaki,Gerstenkorn, 662,101-1711,STARKVILLE,MS,39760,M,N,1500,3.0,0,0
Junguk,Cichocki, 769,110-1833,PICKENS,MS,39146,S,Y,8500,4.4,6000,1500
Emily,Estlin, 602,156-1833,CASA GRANDE,AZ,85293,S,Y,64000,3.707,2100,2300
Dianxiang,Mikov, 603,136-1059,NASHUA,NH,03061,M,N,33000,0.0,0,0
Catuscia,Spinning, 574,158-1259,LEBANON,IN,46052,M,N,42500,3.4,0,0
Carine,Crubille, 316,152-1331,WICHITA,KS,67276,S,Y,2500,3.5,2250,2250
Coco,Turakainen, 814,102-1845,BOWMANSVILLE,PA,17507,M,N,91500,3.07,0,0
Siranush,Cochran, 334,134-1257,BAYOU LA BATRE,AL,36509,S,Y,92500,5.0,1500,300
Pino,Fayerman, 603,126-1454,GILFORD,NH,03249,M,N,44500,0.0,0,0
Chiranjit,Hassan, 773,199-2022,CHICAGO RIDGE,IL,60415,M,N,11500,3.0,0,0
Bongham,Herley, 787,123-1751,SAN JUAN,PR,00929,S,Y,69500,0.0,0,0
Vyjayanti,Katsaggelos, 970,104-1827,DENVER,CO,80206,S,Y,98000,4.63,0,0
Brom,Lingard, 660,186-1931,CHADWICK,MO,65629,M,N,7000,4.875,0,0
Masaharu,Landram, 412,198-1022,NORVELT,PA,15674,M,N,75000,3.07,0,0
Sathiamoorthy,Delatizky, 734,130-1158,WESTON,MI,49289,S,Y,86500,3.9,3100,3100
Lawrence,Nakhaeizadeh, 971,111-1234,LANGLOIS,OR,97450,M,N,10000,9.0,0,0
Kazuyasu,Shiouchi, 907,148-1158,EMMONAK,AK,99581,M,N,86500,0.0,0,0
LaRoy,Barjaktarovic, 508,145-2068,MIDDLEBORO,MA,02344,M,N,16000,5.3,0,0
Zahava,Sinclair, 720,141-1569,LOMA,CO,81524,M,N,46000,4.63,0,0
Fumitaka,Crivelli, 202,183-1706,WASHINGTON,DC,20536,M,N,84500,9.0,0,0
Zvonko,Rabagliati, 712,108-1318,BUCKINGHAM,IA,50612,M,N,17500,2.8657079,0,0
Chandrashekar,Jording, 910,151-1074,RALEIGH,NC,27615,S,Y,95500,7.736014,3300,3300
Ramzi,Buzato, 307,121-1181,SHAWNEE,WY,82229,S,Y,35500,0.0,0,0
Kersti,Hagert, 505,178-1202,RANCHOS DE TAOS,NM,87557,M,N,4500,1.7,0,0
Mats,Tomas, 574,119-1962,AMO,IN,46103,S,Y,43000,3.4,1000,1000
Lalita,Pine, 252,199-1637,WINSTON SALEM,NC,27107,S,Y,43500,6.645105,3300,3300
Carles,Windeknecht, 207,175-1303,CARMEL,ME,04419,S,Y,6000,2.6879563,2850,2850
Kumiyo,Azagury, 406,158-1381,CONDON,MT,59826,M,N,94500,6.9,0,0
Visit,Heberlein, 785,107-1367,POMONA,KS,66076,M,N,22500,4.975,0,0
Kailash,Boydens, 818,103-1026,ARBUCKLE,CA,95912,M,N,96500,9.3,0,0
Doan,Wedberg, 918,190-1118,AVANT,OK,74001,M,N,71000,6.25,0,0
Osman,Bennis, 212,154-1177,SYRACUSE,NY,13212,S,Y,96000,4.509756,0,1000
Gulsen,Sekaran, 571,167-1835,YORKTOWN,VA,23692,M,N,500,2.0,0,0
Leon,Lacoste, 701,119-1242,ERIE,ND,58029,M,Y,74000,2.6135366,0,3300
Sendhil,Sabnani, 505,146-1474,CLAUNCH,NM,87011,S,Y,32500,5.3,3300,3300
Saharon,Hemerik, 541,158-1882,MOSIER,OR,97040,S,Y,29000,9.0,159,159
Vaughn,Schalk, 636,158-1786,COLUMBIA,MO,65201,S,Y,77000,6.0,2100,1200
Petia,Besselaar, 601,148-2071,BROOKSVILLE,MS,39739,M,N,26000,5.0,0,0
Marialuisa,Heckmann, 843,180-1940,BLENHEIM,SC,29516,S,Y,44000,7.0,3300,3300
Gultekin,Sagayama, 808,187-1760,KURTISTOWN,HI,96760,M,N,69000,8.25,0,0
Bedabrata,Roussille, 939,115-1443,SAN JUAN,PR,00955,S,Y,20000,0.0,0,0
Giuseppe,Picaronny, 301,112-1036,TRACYS LANDING,MD,20779,S,Y,76500,4.75,2400,2400
Sanjai,Manara, 202,119-1261,WASHINGTON,DC,20212,M,N,55500,9.0,0,0
Kwangho,Ramiller, 775,175-1999,MONTELLO,NV,89830,S,Y,9000,0.0,0,0
Geoff,Towheed, 443,194-1722,FRUITLAND,MD,21826,S,Y,48000,4.75,2400,2400
Mallika,Veeraraghavan, 928,166-1989,MESA,AZ,85205,M,N,75000,3.8775,0,0
Fredeic,Lattin, 785,177-1505,CIMARRON,KS,67835,M,N,10000,3.5,0,0
Petro,Antonakopoulos, 202,159-1332,WASHINGTON,DC,20424,M,N,31500,9.0,0,0
Abdelhak,Sury, 623,122-1050,GREEN VALLEY,AZ,85614,S,Y,82000,3.986,2100,2300
Shovonlal,DeJean, 251,141-1165,YORK,AL,36925,M,N,96000,5.0,0,0
Boris,Spenke, 571,157-1382,RINER,VA,24149,S,Y,70500,5.75,900,900
Serenella,Fleck, 706,125-1781,ATLANTA,GA,30313,S,N,9500,6.0,2700,0
Wenfei,Brotman, 808,154-1882,EWA BEACH,HI,96706,M,N,2500,1.4901316,0,0
Micki,Gruenefeldt, 561,173-1197,ISLAMORADA,FL,33036,M,N,59500,0.0,0,0
Gully,Fahringer, 701,102-1329,GARDNER,ND,58036,M,N,82500,2.7120707,0,0
Ubbo,Sanella, 574,184-1675,GOSHEN,IN,46526,S,N,51000,3.4,1000,0
Syam,Kubierschky, 708,164-1909,MORRISON,IL,61270,S,Y,2000,3.0,2000,2000
Sachar,Radovic, 308,110-1633,LEIGH,NE,68643,M,N,18500,5.4192533,0,0
Morganna,Bordawekar, 307,126-1004,CORA,WY,82925,M,N,66500,0.0,0,0
Arvind,Kuberka, 620,188-1012,FORT DODGE,KS,67843,S,Y,7000,3.5,2250,2250
Yale,Sugianto, 605,123-1451,CAVOUR,SD,57324,S,Y,7500,0.0,0,0
Arunabha,Kapp, 802,179-1570,CAMBRIDGE,VT,05444,S,Y,89500,4.7857695,3300,3300
Ljudmilla,Whitely, 208,133-1361,GARDEN CITY,ID,83714,M,N,84500,7.8,0,0
Taekyoung,Businaro, 989,113-1633,RIGA,MI,49276,S,Y,12500,3.9,3100,3100
Bonita,Bivens, 312,137-1344,ELDORADO,IL,62930,M,N,15000,3.0,0,0
Phong,Newberg, 402,150-1973,INAVALE,NE,68952,S,Y,67000,6.84,103,103
Ronnie,Boursier, 352,190-1656,FORT MYERS,FL,33912,M,N,34000,0.0,0,0
Tyre,DAmiano, 641,120-1544,SHERRILL,IA,52073,M,N,10500,1.7850626,0,0
Yutaka,Abelha, 701,197-1312,HANNAH,ND,58239,M,N,96500,2.8743622,0,0
Betty,Alshuth, 765,116-1539,CHURUBUSCO,IN,46723,M,N,32500,3.4,0,0
Kangwoo,Lubachevsky, 469,107-1603,PEP,TX,79353,S,Y,84500,0.0,0,0
Brennan,Dress, 769,132-1456,COLUMBUS,MS,39710,S,Y,46500,5.0,6000,1500
Guohua,Hobby, 810,158-2062,NOVI,MI,48377,M,N,91500,3.9,0,0
Budak,Huhdanpaa, 208,150-1273,BOISE,ID,83722,M,N,93500,7.8,0,0
Keri,Dahn, 608,115-1242,MC NAUGHTON,WI,54543,S,Y,9000,4.60278,700,400
Dipanwita,Koponen, 304,132-1955,COWEN,WV,26206,M,N,54000,6.08,0,0
Audrey,Palomar, 907,179-1589,JUNEAU,AK,99812,S,Y,14500,0.0,0,0
Keshav,Gradenigo, 636,113-1916,MINDENMINES,MO,64769,M,N,90000,6.0,0,0
Meikel,Eckstein, 406,172-1767,BAKER,MT,59313,M,N,10000,4.916379,0,0
Ophir,Felici, 603,137-1360,DOVER,NH,03820,S,Y,31000,0.0,0,0
Yasuaki,Motwani, 502,103-1113,DANVILLE,KY,40423,M,N,24500,3.1944444,0,0
Dongchang,Peckham, 260,107-1731,WINDFALL,IN,46076,S,Y,55500,3.4,1000,1000
Ruurd,Edagawa, 904,134-2028,SAINT AUGUSTINE,FL,32084,S,Y,47500,0.0,0,0
Janice,Kavaky, 870,157-1381,TILLAR,AR,71670,S,Y,60500,7.0,20,20
Yingsha,Chauche, 630,195-1023,BRIMFIELD,IL,61517,M,N,40500,3.0,0,0
Ilona,Nitsch, 808,130-1654,PEARL CITY,HI,96782,M,N,22500,5.095395,0,0
Pinio,Qaraeen, 603,116-2044,WEST NOTTINGHAM,NH,03291,S,Y,1500,0.0,0,0
Elwin,Villani, 928,137-1561,SCOTTSDALE,AZ,85261,S,Y,28000,3.149,2100,2300
Farooq,Tassinari, 202,154-1396,WASHINGTON,DC,20411,S,Y,500,4.5,1370,1370
Prabir,Egg, 334,177-1600,TRENTON,AL,35774,M,N,79000,5.0,0,0
Yuji,Legeard, 802,174-1002,SHELBURNE,VT,05482,M,N,97000,4.9349856,0,0
Maribeth,Daskalakis, 435,105-1629,TRIDELL,UT,84076,M,N,18000,7.0,0,0
Dallan,Aghbari, 787,117-1644,ISABELA,PR,00662,M,N,87500,0.0,0,0
Milorad,Plum, 301,121-1745,FULTON,MD,20759,M,N,98000,4.75,0,0
Clark,Fidelak, 430,115-1670,BUSHLAND,TX,79012,M,N,48500,0.0,0,0
Yinfeng,Beuter, 918,187-1610,TALOGA,OK,73667,M,N,32500,6.25,0,0
Kazuya,Jarwala, 802,193-2000,WOODBURY,VT,05681,M,N,48000,3.9601078,0,0
Norbert,Nyrup, 912,148-1172,ALBANY,GA,31705,S,Y,97000,6.0,2700,3000
Olumide,Korelc, 202,142-1070,WASHINGTON,DC,20469,M,N,49000,9.0,0,0
Leandros,Girgensohn, 781,166-1989,CHARLTON CITY,MA,01508,M,N,7000,5.3,0,0
Whanki,Redon, 307,153-1863,LOST SPRINGS,WY,82224,M,N,34500,0.0,0,0
Wasfi,Kwiatkowski, 808,138-1065,KUNIA,HI,96759,M,N,19000,4.4644737,0,0
Nicoletta,Reisfelder, 501,181-1305,MARION,AR,72364,M,N,8500,2.219314,0,0
Zeki,Sutanto, 585,157-1016,BAYSIDE,NY,11360,S,Y,66000,4.3359756,0,1000
Lenny,Zavattaro, 985,105-1729,PIERRE PART,LA,70339,M,N,73000,6.0,0,0
Danil,Phoa, 971,119-1447,PLEASANT HILL,OR,97455,S,Y,7000,9.0,159,159
Kali,Knecht, 302,111-1334,BRIDGEVILLE,DE,19933,M,N,20500,3.2568183,0,0
Sharma,Gabrielian, 973,182-1510,WEEHAWKEN,NJ,07086,M,N,69000,2.1727707,0,0
Sushila,Magnier, 228,144-1783,PRAIRIE,MS,39756,M,N,72000,5.0,0,0
Magne,Balard, 605,156-1683,ROSHOLT,SD,57260,S,Y,67000,0.0,0,0
Everald,Maassen, 406,197-1821,LOLO,MT,59847,M,N,39500,6.9,0,0
Jianna,Haining, 856,174-1417,BELLMAWR,NJ,08099,M,N,43500,1.7706146,0,0
Tsang,Edler, 401,129-1052,PAWTUCKET,RI,02862,S,Y,66000,0.0,0,0
Tarcisio,Vondran, 307,109-1437,EDGERTON,WY,82635,S,Y,54000,0.0,0,0
Orlando,Grot, 270,119-1443,ISONVILLE,KY,41149,M,N,55000,4.888889,0,0
Dongming,Motley, 703,121-1189,NORFOLK,VA,23519,M,N,49500,5.75,0,0
Maartje,Azevedo, 325,193-1516,FORT WORTH,TX,76161,M,N,96000,0.0,0,0
Irwin,Pauthner, 216,173-1500,BEACHWOOD,OH,44122,S,Y,37000,1.774236,1300,1300
Avshalom,Parberry, 304,107-1130,HUNTINGTON,WV,25707,M,N,70000,6.5,0,0
Geraint,Bak, 307,149-1544,FORT WASHAKIE,WY,82514,S,Y,78500,0.0,0,0
Marlene,Skowron, 224,109-2032,IUKA,IL,62849,S,Y,15500,3.0,2000,2000
Eiichi,Krevner, 339,143-1871,WEST HYANNISPORT,MA,02672,S,N,3000,5.3,3575,0
Jayaramaiah,Desnoyer, 239,164-1878,CITRA,FL,32113,S,Y,23500,0.0,0,0
Rajko,Beim, 502,120-1948,ELIZAVILLE,KY,41037,S,Y,72500,5.861111,20,20
Kenong,Satyanarayanan, 480,118-1941,CLAYPOOL,AZ,85532,M,N,5000,2.87,0,0
Kapali,Moharir, 302,102-1230,ODESSA,DE,19730,S,N,82500,5.95,110,0
Somnath,Hogge, 304,121-1444,TWILIGHT,WV,25204,S,Y,49000,5.73,2000,2000
Wagner,Sestoft, 907,151-1779,CHEVAK,AK,99563,M,N,91000,0.0,0,0
Agusti,Palhang, 505,195-2018,GRADY,NM,88120,S,Y,73000,5.3,3300,3300
Fehmina,Flowers, 754,149-1327,LAKELAND,FL,33809,S,Y,96500,0.0,0,0
Kiyokuni,Gutmann, 208,154-1178,BOVILL,ID,83806,M,N,42500,7.8,0,0
Qing,Ayoubi, 502,123-2051,ALPHA,KY,42603,S,N,52000,4.7222223,20,0
Francesco,Gloger, 918,194-1217,SALINA,OK,74365,M,N,22500,6.25,0,0
Zahia,Gutta, 315,164-1392,ALBANY,NY,12226,S,Y,84000,4.4402437,0,1000
Efthimis,Morrell, 808,193-1716,HONOLULU,HI,96837,M,N,49000,8.25,0,0
Biao,Banreuther, 580,126-1554,TATUMS,OK,73487,S,Y,21000,6.25,1000,1000
Cholwich,Akaboshi, 443,106-1229,CATONSVILLE,MD,21228,M,N,29000,4.75,0,0
Djenana,Budzinski, 219,103-1131,INDIANAPOLIS,IN,46268,M,N,57500,3.4,0,0
Prabal,Pokrovskii, 304,121-1144,DIXIE,WV,25059,M,N,81500,6.5,0,0
Kifung,Burneau, 660,108-1254,BURFORDVILLE,MO,63739,M,N,26500,6.0,0,0
Visit,Port, 708,120-2044,BELVIDERE,IL,61008,M,N,2000,3.0,0,0
Shuguang,Podgurski, 479,199-1327,CORNING,AR,72422,S,N,87000,7.0,20,0
Sibabrata,Abayan, 802,194-2018,MORETOWN,VT,05660,M,N,87000,4.736031,0,0
Katsuma,Pemmaraju, 505,154-1182,LAS CRUCES,NM,88006,S,Y,88500,5.3,3300,3300
Manoranjan,Demner, 435,121-1445,ROOSEVELT,UT,84066,M,Y,79000,7.0,0,2475
Kaisa,Kamber, 920,115-1853,CONRATH,WI,54731,S,Y,74000,5.7321644,700,400
Prabhav,Strcalov, 304,161-1184,WELLSBURG,WV,26070,S,N,56000,6.2200003,2000,0
Mikel,Thery, 850,183-1893,TAMPA,FL,33660,M,N,10000,0.0,0,0
Mariemma,Kogel, 913,141-1764,RIVERTON,KS,66770,M,N,76500,6.45,0,0
Friedrich,Kinter, 678,157-1134,COMMERCE,GA,30529,M,N,7000,6.0,0,0
Tetsuzo,Guski, 440,108-2031,MARION,OH,43301,S,Y,73000,2.9692512,1300,1300
Adhemar,Adorni, 623,155-1283,WICKENBURG,AZ,85390,S,Y,91500,4.1332498,2100,2300
Katalin,Mateescu, 334,141-1364,MOBILE,AL,36606,S,Y,3000,5.0,1500,300
Bertrand,Sippu, 304,136-1864,MULLENS,WV,25882,M,N,17500,3.525,0,0
Beatriz,Sleumer, 228,100-1323,GULFPORT,MS,39507,S,Y,54500,5.0,6000,1500
Gad,Calude, 262,134-1341,LUXEMBURG,WI,54217,S,Y,7000,4.6,700,400
Nicolau,Schober, 563,169-1092,JANESVILLE,IA,50647,S,Y,38500,6.1076446,40,40
Nanchang,Shumilov, 207,127-1855,LOVELL,ME,04051,S,Y,54500,8.5,2850,2850
Xiaofang,Gerace, 207,157-2080,LEEDS,ME,04263,S,Y,72000,8.5,2850,2850
Roope,Agi, 774,183-1811,WESTBOROUGH,MA,01580,M,N,65500,5.3,0,0
Ramiro,Cucker, 417,177-1000,SAINT LOUIS,MO,63182,M,N,63500,6.0,0,0
Vidar,Bra, 939,183-1611,SAN JUAN,PR,00929,S,Y,73500,0.0,0,0
Gang,Keohane, 317,129-1952,MENTONE,IN,46539,S,Y,78500,3.4,1000,1000
Graydon,Sueyoshi, 612,137-1003,SHEVLIN,MN,56676,S,Y,16500,5.35,3300,3300
Alfredo,Baudin, 787,132-1455,SAN JUAN,PR,00921,S,Y,90500,0.0,0,0
Curd,Devlin, 505,174-1702,LOVING,NM,88256,S,Y,20000,5.3,3300,3300
Srdjan,Mitsui, 515,164-2088,CEDAR RAPIDS,IA,52402,S,Y,26000,4.1779203,40,40
Wayne,Plat, 860,103-1031,REDDING RIDGE,CT,06876,M,N,28000,5.0,0,0
Rolland,Gill, 207,135-1258,ELIOT,ME,03903,S,Y,62500,8.5,2850,2850
Tryggve,Ulery, 878,105-1433,SWEET VALLEY,PA,18656,S,Y,29000,3.07,0,0
Quingzhou,Ratuski, 802,114-2093,BURLINGTON,VT,05405,S,N,45500,3.9103692,3300,0
Pericles,Ayari, 636,120-2031,PURDIN,MO,64674,M,N,20000,6.0,0,0
Raymund,Baptiste, 808,160-1383,MAKAWAO,HI,96768,M,N,86000,8.25,0,0
Lynette,Nekvinda, 615,129-1057,EVENSVILLE,TN,37332,M,N,27000,0.0,0,0
Ken,Hamblen, 660,109-1032,HARVIELL,MO,63945,S,Y,47000,6.0,2100,1200
Jared,Sonnenberger, 202,168-1410,PARCEL RETURN SERVICE,DC,56902,M,N,47000,9.0,0,0
Khodi,Gorenstein, 941,124-1814,ENGLEWOOD,FL,34224,S,Y,58500,0.0,0,0
Guntram,Bonifati, 469,126-1254,SPRING,TX,77382,S,Y,60000,0.0,0,0
Umpei,Laube, 605,101-1425,VOLGA,SD,57071,S,Y,36000,0.0,0,0
Salah,Worley, 307,132-1892,JACKSON,WY,83001,M,N,78000,0.0,0,0
Aleks,Luiz, 607,156-1180,HANCOCK,NY,13783,S,Y,16000,4.0463414,0,1000
Dexter,Gray, 865,194-1122,MEMPHIS,TN,38117,M,N,72500,0.0,0,0
Pauline,Straubing, 401,100-1124,MAPLEVILLE,RI,02839,S,Y,46000,0.0,0,0
Niranjan,Witteveen, 206,163-1708,NORTHPORT,WA,99157,S,N,62500,0.0,0,0
Rodney,Sylvan, 701,125-1149,MAX,ND,58759,M,N,3000,2.1,0,0
Jogesh,Taniar, 707,139-1135,SAN BERNARDINO,CA,92413,S,Y,62500,9.3,87,272
Itzhak,MacGinnes, 505,147-1120,FLORA VISTA,NM,87415,S,Y,20000,5.3,3300,3300
Maiko,Venkataraman, 248,126-1130,MIDDLEVILLE,MI,49333,S,Y,68500,3.9,3100,3100
Jitian,Shillner, 603,180-1977,LITCHFIELD,NH,03052,S,Y,32000,0.0,0,0
Jianying,Flouret, 715,175-1403,MADISON,WI,53718,M,N,79500,5.8277273,0,0
Tyler,Rowen, 810,165-1088,SAWYER,MI,49125,M,N,57500,3.9,0,0
Yukiyoshi,Cranor, 307,146-1514,CHEYENNE,WY,82002,S,Y,50000,0.0,0,0
Matthhew,Whitcroft, 334,152-1275,BOYKIN,AL,36723,S,Y,78000,5.0,1500,300
Elissa,Redon, 757,124-1852,ROANOKE,VA,24038,S,Y,63000,5.75,900,900
Opher,Reif, 302,199-1522,NEWARK,DE,19711,M,N,63000,5.95,0,0
Adonios,Suzaki, 443,154-1714,SECRETARY,MD,21664,M,N,83000,4.75,0,0
Shinichi,Studzinski, 405,190-1213,FOSTER,OK,73434,S,Y,94500,6.25,1000,1000
Jagoda,Frtzson, 817,180-1008,KILLEEN,TX,76541,M,N,41500,0.0,0,0
Woei,Dunham, 801,138-1261,TRIDELL,UT,84076,M,N,88000,7.0,0,0
Gjalt,Siriboon, 770,157-1802,BRONWOOD,GA,39826,S,N,96500,6.0,2700,0
Atri,Castellani, 203,178-1702,DANBURY,CT,06814,S,Y,86500,5.0,12750,0
Jihie,Herder, 412,167-1628,WEST CHESTER,PA,19381,M,N,62000,3.07,0,0
Tanka,Gloess, 302,194-1345,SAINT GEORGES,DE,19733,M,N,61000,5.95,0,0
Catherine,Driggers, 405,110-1438,OKLAHOMA CITY,OK,73170,M,N,30000,6.25,0,0
Aladin,Chomsky, 520,115-1538,VALENTINE,AZ,86437,S,Y,34500,3.24975,2100,2300
Wyn,Karn, 908,171-1498,BROOKSIDE,NJ,07926,M,N,35000,1.6365625,0,0
Brandon,Gahlot, 617,111-1134,ACUSHNET,MA,02743,M,N,54500,5.3,0,0
Tsunetoshi,Alwan, 850,189-1390,PLANT CITY,FL,33565,M,N,15500,0.0,0,0
Asha,Lucia, 612,160-1983,MINNEAPOLIS,MN,55432,S,Y,37000,6.2299356,3300,3300
Jaewon,Matheson, 207,183-1311,TENANTS HARBOR,ME,04860,M,N,53500,8.5,0,0
Sadanand,Kayssi, 865,198-1722,GERMANTOWN,TN,38139,M,N,70000,0.0,0,0
Mahadevamurty,Proskurowski, 206,118-1777,HOQUIAM,WA,98550,S,Y,56500,0.0,0,0
Totadri,Michaelski, 812,106-1162,EVANSVILLE,IN,47704,M,N,46000,3.4,0,0
Seungyup,DAgostino, 580,170-1497,MOUNDS,OK,74047,M,N,11000,6.25,0,0
Divesh,Chamillard, 307,153-1277,JELM,WY,82063,S,Y,11000,0.0,0,0
Pintsang,Sippi, 808,155-1065,PUUNENE,HI,96784,M,N,65000,8.25,0,0
Delvan,Setia, 901,170-2094,PELHAM,TN,37366,M,N,45000,0.0,0,0
Yezdezard,Baudino, 207,105-1433,ISLE OF SPRINGS,ME,04549,M,N,6000,2.6879563,0,0
Giedrius,Koppstein, 701,193-1617,CLIFFORD,ND,58016,M,N,38500,2.2020116,0,0
Pui,Rahola, 559,186-1496,SACRAMENTO,CA,94240,M,N,44500,9.3,0,0
Janaina,Arbib, 480,119-1142,SCOTTSDALE,AZ,85266,S,Y,72500,3.83875,2100,2300
Fons,Larfeldt, 505,111-1739,FARMINGTON,NM,87499,S,Y,70500,5.3,3300,3300
Alexandros,Lamond, 787,125-1948,GURABO,PR,00778,S,Y,34000,0.0,0,0
Agusti,Lorincz, 307,145-1673,BOSLER,WY,82051,S,Y,46500,0.0,0,0
Betsy,Houghland, 217,150-1674,PATTERSON,IL,62078,M,N,4500,3.0,0,0
Hayato,Georg, 414,124-2066,MILLSTON,WI,54643,M,N,55500,5.410724,0,0
Zhoujun,McCaig, 678,129-1432,FORT GAINES,GA,39851,M,N,65000,6.0,0,0
Giri,Boege, 907,183-1578,SEWARD,AK,99664,S,Y,64500,0.0,0,0
Ajoy,Even, 985,193-1817,FORT NECESSITY,LA,71243,M,N,4500,2.0,0,0
Burkhart,Coolsaet, 623,165-1396,CHANDLER,AZ,85246,M,N,27500,3.14125,0,0
Tran,Palensky, 630,195-1718,KARBERS RIDGE,IL,62955,S,N,88000,3.0,2000,0
Melia,Raghavendra, 406,141-1546,SOMERS,MT,59932,M,N,5000,2.3732758,0,0
Nobuki,Banerji, 740,127-1506,NORTH LEWISBURG,OH,43060,M,N,95500,3.716136,0,0
Zhihong,Aumann, 562,158-1786,EL TORO,CA,92609,S,Y,7500,1.2788072,87,272
Rustam,Praeger, 864,172-1595,ROEBUCK,SC,29376,S,Y,80500,7.0,3300,3300
Ehab,Keay, 504,165-1810,COVINGTON,LA,70433,S,N,90500,6.0,4500,0
Cecily,Grospietsch, 302,107-1698,WOODSIDE,DE,19980,S,Y,87000,5.95,110,110
Priscilla,Wool, 240,109-1037,UNIONVILLE,MD,21792,S,Y,61000,4.75,2400,2400
Chenye,Polo, 240,157-1981,MARBURY,MD,20658,S,Y,5500,4.75,2400,2400
HongJiang,Barthelemy, 505,114-1309,BLOOMFIELD,NM,87413,M,N,34000,5.3,0,0
Adelinde,Glowinski, 276,170-1444,BRACEY,VA,23919,M,N,12500,4.5446424,0,0
Jaeho,Postmus, 715,135-1562,WEST BEND,WI,53095,M,Y,55000,5.4020367,0,400
Shunji,Mikulecky, 925,186-1709,IRVINE,CA,92612,S,Y,35500,7.888967,87,272
Tarcisio,Schahn, 774,168-1178,LEEDS,MA,01053,M,N,48000,5.3,0,0
Ray,Hardavellas, 406,113-1337,PONY,MT,59747,S,Y,57500,6.9,1900,1900
Feipei,Slosberg, 606,159-1587,WORTHVILLE,KY,41098,M,N,15500,2.6944444,0,0
Aqeel,Roucairol, 225,194-1668,SHONGALOO,LA,71072,M,N,5500,2.0,0,0
Kapetanakis,Shepherd, 401,126-1492,NARRAGANSETT,RI,02882,M,N,88500,0.0,0,0
Sampath,Renner, 480,183-1206,SHOW LOW,AZ,85902,S,Y,48500,3.46675,2100,2300
Muralidharan,Zapico, 302,116-1144,MILTON,DE,19968,S,Y,47000,5.063636,110,110
Ferrell,Ghazalie, 571,137-1209,DEWITT,VA,23840,M,Y,76500,5.75,0,900
Florin,Flank, 307,113-1441,MANVILLE,WY,82227,M,Y,53000,0.0,0,0
Xuequn,Derry, 605,121-1844,SAINT FRANCIS,SD,57572,M,N,50500,0.0,0,0
Adarsh,Acildiev, 918,120-1348,VERA,OK,74082,S,Y,91500,6.25,1000,1000
Tatsuya,Draws, 401,191-1614,NORTH SCITUATE,RI,02857,M,N,52000,0.0,0,0
Benn,Seyfer, 202,195-1423,WASHINGTON,DC,20240,S,Y,63000,9.0,1370,1370
Tokuji,Jacopini, 337,104-1927,LAFAYETTE,LA,70596,S,Y,54000,6.0,4500,1000
Ravi,Arent, 541,123-1551,MONMOUTH,OR,97361,M,N,53500,9.0,0,0
Magnus,Hansdah, 443,174-1897,LUKE,MD,21540,S,Y,48000,4.75,2400,2400
Gennoveffa,Nederhof, 207,114-1242,LISBON,ME,04250,M,N,91500,8.5,0,0
Dima,Torlone, 812,165-1588,SOUTH BEND,IN,46619,S,Y,92000,3.4,1000,1000
Yexuan,Frisberg, 253,135-1242,MALOTT,WA,98829,M,Y,97500,0.0,0,0
Shay,Pachaly, 630,112-1435,NATIONAL STOCK YARDS,IL,62071,S,Y,33000,3.0,2000,2000
Haluk,Massonet, 916,158-1786,SACRAMENTO,CA,94295,M,N,16000,3.2854626,0,0
Clay,Vahdat, 907,161-1884,TUNUNAK,AK,99681,M,N,52500,0.0,0,0
Susie,Niessner, 614,188-1016,COLERAIN,OH,43916,M,N,76000,3.0688362,0,0
Daoud,Lawry, 270,115-2038,LOUISA,KY,41230,S,N,23000,3.1111112,20,0
Jieh,Hoogewijs, 931,126-1271,MEMPHIS,TN,38133,M,N,56000,0.0,0,0
